Депутаты выступили перед экспертами на водном совете в Камбодже,26-05-2023 10:48,,"Депутаты Жогорку Кенеша Кыргызской Республики Винера Раимбачаева и Фарходбек Алимжанов приняли участие в 5-й Генеральной Ассамблее Азиатского Межпарламентского Водного Совета (AAWC Board Meeting and the High-Level Roundtable), который прошёл городе Пномпене (Камбоджи). Отметим, что Кыргызстан принимает участие в статусе страны-наблюдателя.

В рамках мероприятия парламентарии поделились важными законодательными и политическими мерами, предпринимаемыми на парламентском уровне в Кыргызстане в отношении водных ресурсов и воды, направленными на решение водных проблем в Центральной Азии. Отмечено, что в Кыргызстане придается высокое значение управлению водными ресурсами. Для решения водных проблем Жогорку Кенеш Кыргызской Республики принимает соответствующие законы и придерживается политики, сфокусированной на эффективном использовании и сохранении водных ресурсов. 
«Одной из наших важнейших задач является обеспечение доступа населения Кыргызстана к чистой питьевой воде. Мы активно работаем над улучшением инфраструктуры водоснабжения и водоотведения, а также внедряем инновационные технологии для обработки и очистки воды. Это включает разработку соответствующих стандартов и нормативных актов, а также содействие модернизации существующих систем и созданию новых водных инфраструктур. В нашей работе мы также уделяем внимание сохранению и защите экосистем, связанных с водными ресурсами. Мы разрабатываем и внедряем политики по охране водных бассейнов, восстановлению речных экосистем и сохранению биоразнообразия водных ресурсов. Это включает создание заповедных территорий, внедрение экологических мер в сельском хозяйстве и принятие мер по предотвращению загрязнения водных источников», - добавил Фарходбек Алимжанов. Также депутаты подчеркнули, что одним из приоритетов Жогорку Кенеша является обеспечение справедливого распределения водных ресурсов и устойчивого развития сельских районов. Разрабатываются и принимаются меры по поддержке сельского хозяйства, направленные на эффективное использование воды в сельском хозяйстве, внедрение инновационных методов орошения и развитие современных систем водоснабжения для сельских поселений. Также, как было заявлено парламентариями, Жогорку Кенеш активно работает над предотвращением и урегулированием конфликтов, связанных с водными ресурсами, в рамках регионального сотрудничества. Вместе с тем, депутаты также провели встречи с высшим руководством Азиатского Межпарламентского Водного Совета. Отдел по работе с общественностью и СМИ"
Рассмотрен законопроект о ратификации Соглашения о взаимной правовой помощи по административным вопросам в сфере обмена персональными данными,25-05-2023 16:35,,"На заседании Жогорку Кенеша сегодня, 25 мая, депутаты рассмотрели и приняли законопроект «О ратификации Соглашения о взаимной правовой помощи по административным вопросам в сфере обмена персональными данными, подписанного 18 декабря 2020 года» в трех чтениях. Инициатор законопроекта- председатель Кабинета министров. Информацию о законопроекте представила директор Государственного агентства по защите персональных данных при Кабинете Министров Кыргызской Республики Нурия Кутнаева. Соглашением предусматривается, что каждая из Сторон по запросу одной из стран-участниц Соглашения оказывает взаимную правовую помощь с учетом национального законодательства. Для организации обмена вышеуказанной информацией стороны устанавливают порядок обмена и определяют перечни информации, которые должны содержаться в запросах, при этом установлено, что взаимодействие в рамках Соглашения обеспечивается через уполномоченные органы Сторон. Отдел по работе с общественностью и СМИ  "
Рассмотрен законопроект по ратификации Меморандума об обязательствах Исламской Республики Иран в целях получения статуса государства-члена Шанхайской организации сотрудничества,25-05-2023 16:18,,"На заседании Жогорку Кенеша сегодня,  25 мая, депутаты рассмотрели проект Закона «О ратификации Меморандума об обязательствах Исламской Республики Иран в целях получения статуса государства-члена Шанхайской организации сотрудничества, подписанного 16 сентября 2022 года в городе Самарканд». Отметим, что в рамках Меморандума Исламская Республика Иран обязуется присоединиться к Хартии, Шанхайской конвенции о борьбе с терроризмом, сепаратизмом и экстремизмом от 15 июня 2001 года, и протоколам к ним, а также к международным договорам в рамках ШОС, указанным в приложении № 1 к настоящему Меморандуму. В рамках соглашения определены финансовые аспекты вступления Ирана в ШОС и замещение квотных должностей в постоянно действующих органах ШОС. Законопроект принят в трех чтениях.   Отдел по работе с общественностью и СМИ"
Принят законопроект о ратификации Грантового соглашения по проекту «Модернизация и устойчивое развитие электроэнергетического сектора»,25-05-2023 16:17,,"На заседании Жогорку Кенеша сегодня, 25 мая, депутаты рассмотрели и приняли законопроект «О ратификации Грантового соглашения по проекту «Модернизация и устойчивое развитие электроэнергетического сектора» между Кыргызской Республикой и Международным банком реконструкции и развития, Международной ассоциацией развития (выступающих в качестве администратора средств Трастового фонда единого донора для поддержки проекта «Модернизация и устойчивое развитие электроэнергетического сектора» (KEMS) в Кыргызской Республике), подписанного 31 января 2023 года в городе Бишкек» во втором и третьем чтениях. Инициатор законопроекта- председатель Кабинета министров. Информацию о законопроекте представил председатель Комитета по международным делам, обороне, безопасности и миграции Жогорку Кенеша Кыргызской Республики Улан Примов. Целью Грантового соглашения является привлечение грантовых средств Швейцарской Конфедерации, представляемой Государственным секретариатом по экономическим вопросам (SECO) в размере 3 млн долларов США на реализацию проекта «Модернизация и устойчивое развитие электроэнергетического сектора». Грантовые средства будут направлены на финансирование компонента 2 (АСКУЭ) проекта, согласно которому планируется провести цифровизацию распределительной сети. Компонент направлен на применение цифровых решений и сокращение коммерческих потерь, внедрение автоматизированной системы коммерческого учета электроэнергии (АСКУЭ) и системы SCADA (диспетчерское управление и сбор данных). По итогам проекта ожидается снижение уровня потерь электроэнергии, повышение уровня сбора средств, повышение прозрачности и надежности электроснабжения, снижение аварийности и улучшение качества электроснабжения потребителей. Данные средства будут переданы распределительным компаниям ОАО «Северэлектро», ОАО «Ошэлектро», ОАО «Востокэлектро» и ОАО «Жалалабатэлектро» после заключения с ними соглашений на условиях, удовлетворяющих требованиям Банка. Отдел по работе с общественностью и СМИ  "
"Рассмотрен законопроект, направленный на пресечение незаконной деятельности по организации и проведению подпольных (нелегальных) азартных игр",25-05-2023 15:50,,"На заседании Жогорку Кенеша сегодня,  25 мая, депутаты рассмотрели  проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный кодекс, Уголовно-процессуальный кодекс, Кодекс о правонарушениях)». Информацию по законопроекту представил заместитель министра внутренних дел Кыргызской Республики Эркебек Аширходжаев. Как он пояснил, проект Закона разработан в целях пресечения незаконной деятельности по организации и проведению подпольных (нелегальных) азартных игр, в том числе с использованием игровых автоматов. В ходе обсуждения депутат Исхак Масалиев интересовался поступлениями в бюджет с принятия закона «Об игорной деятельности в КР». На что председатель Службы регулирования и надзора за финансовым рынком  Марат Пирназаров проинформировал, что всего было выдано 5 лицензий, 4 на осуществление букмекерской деятельности, 1 – игорную. «За счет уплаты пошлины в бюджет поступило 126 млн сомов, 42 млн сомов - букмекерам, 84 млн сомов на открытие казино», - сказал Марат Пирназаров. Депутат Гуля Кожокулова уточнила понятие «интерактивные заведения». Она поддержала норму, предусматривающую наложение административного штрафа за предоставление помещений для организации игорной деятельности без лицензии, добавив необходимость рассмотрения уголовной ответственности. По итогам обсуждения законопроект принят в первом чтении. Отдел по работе с общественностью и СМИ"
Принят проект Закона «О внесении изменений в Закон Кыргызской Республики «О медиации» во втором чтении,25-05-2023 12:58,,"На заседании Жогорку Кенеша сегодня,  25 мая, депутаты рассмотрели  законопроект «О внесении изменений в Закон Кыргызской Республики «О медиации» во втором чтении. Так, законопроект направлен на создание правовой основы применения медиации в уголовно-исполнительной системе Кыргызской Республики путем приведения в соответствие норм Закона Кыргызской Республики «О медиации» с Уголовно-исполнительным кодексом Кыргызской Республики. Предусматривается поправки, направленные на реализацию процесса медиации на стадии отбывания наказания; дополнения к условиям проведения медиации и требований к медиативному соглашению; поправки, касающиеся приведения в соответствие наименований кодексов и исключения из содержания Закона слова «проступок». Законопроект принят во втором чтении.   Отдел по работе с общественностью и СМИ"
Принят законопроект  «О внесении изменений в Закон Кыргызской Республики «О химизации и защите растений» в третьем чтении,25-05-2023 12:53,,"На заседании Жогорку Кенеша сегодня, 25 мая, депутаты рассмотрели и приняли законопроект  «О внесении изменений в Закон Кыргызской Республики «О химизации и защите растений» в третьем чтении. Инициатор законопроекта – председатель Кабинета министров. Проектом закона предлагается в статье 4 в части 1 слово «Правительство» заменить словами «Кабинет Министров». Абзац пятый части первой статьи 14 изложить в следующей редакции:« ‒ прекращать реализацию пестицидов и агрохимикатов и осуществлять их утилизацию в случаях, если безопасное применение данных пестицидов и агрохимикатов становится невозможным при выполнении рекомендаций о применении, транспортировке и хранении пестицидов и агрохимикатов или при несоблюдении ограничений по применению пестицидов и агрохимикатов». В статье 25 предлагается в части 1 слова «уполномоченным органом» заменить словами «уполномоченным государственным органом»;  в части 2 слова «Правительства», «уполномоченного органа» заменить соответственно словами «Кабинета Министров», «уполномоченного государственного органа». Отдел по работе с общественностью и СМИ"
"Принят проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный Кодекс, Кодекс о правонарушениях)» в третьем чтении",25-05-2023 12:51,,"На заседании Жогорку Кенеша сегодня, 25 мая, депутаты рассмотрели и приняли проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный Кодекс, Кодекс о правонарушениях)» в третьем чтении. Так, законопроект разработан в целях ужесточения ответственности за нарушение земельного законодательства. Законопроектом предлагается дополнить Уголовный кодекс новыми статьями 2121 (Непринятие мер по недопущению самовольного захвата земель сельскохозяйственного назначения) и 2122 (Преднамеренное приведение земель в непригодное для использования в сельскохозяйственном производстве состояние), а также внести поправки в Кодекс Кыргызской Республики о правонарушениях. Предусматривается поручение Кабинету министров разработать и принять комплекс мер по предупреждению, пресечению фактов незаконного самовольного захвата, расширения земель, а также контролю за использованием земель по целевому назначению, улучшению и рациональному использованию земель сельскохозяйственного назначения в целях обеспечения продовольственной безопасности. В ходе обсуждения депутат Кундузбек Сулайманов выразил мнение о необходимости усиления ответственности чиновников за незаконную выдачу документов на использование земель. Он привел в пример кафе «Батуми». «Там ведь тоже были выданы разрешительные документы. Надо привлечь к ответственности должностные лица, пусть возместят нанесенный материальный ущерб», - сказал он. Депутаты Дастан Бекешев, Марат Мураталиев предложили пересмотреть норму, которой предлагается привлечение к ответственности глав айыл окмоту за самовольный захват земельного участка и самовольное строительство на землях сельскохозяйственного назначения. По итогам обсуждения законопроект принят в третьем чтении.   Отдел по работе с общественностью и СМИ"
Делегация ЖК КР встретилась с исполнительным директором Малазийского управления инвестиционного развития Нажихан Абас,25-05-2023 12:39,,"В рамках рабочего визита в Малайзию делегация Жогорку Кенеша Кыргызской Республики встретилась с исполнительным директором Малазийского управления инвестиционного развития Нажихан Абас. В ходе встречи председатель Комитета по транспорту, коммуникациям, архитектуре и строительству ЖК КР Мурадил Сыдыков рассказал о предпринимаемых мерах в Кыргызстане по формированию благоприятного инвестиционного климата. С учётом имеющегося потенциала, он предложил рассмотреть возможность создания на территории Кыргызстана инвестиционных зон на базе существующих СЭЗ с привлечением крупных малазийских предприятий. Это, по мнению Мурадила Сыдыкова, позволило бы построить транспортно-логистические хабы и финансово-экономические центры в регионе. Исполнительный директор Малазийского управления инвестиционного развития Нажихан Абас подчеркнув своевременность визита делегации в Малайзию, сообщила, что на данном этапе Центрально-азиатский регион, включая Кыргызстан, рассматривается как одно из приоритетных направлений для вложения инвестиций. Она отметила, что малазийская сторона готова изучить инвестиционные проекты Кыргызстана. В то же время выразила надежду, что в перспективе кыргызский бизнес будет представлен и в Малайзии. Стороны также договорились организовать встречу соответствующих структур Кыргызстана и Малайзии с целью определения потенциальных направлений для сотрудничества. В состав делегации Жогорку Кенеша вошли Мурадил Сыдыков, Бактыбек Чойбеков, Улугбек Ормонов, Бактыбек Сыдыков, Медербек Саккараев, Гулшаркан Култаева, Тазабек Икрамов, Фархат Исмаилов, Азамат Исираилов, Эльмурза Сатыбалдиев и Жылдыз Садырбаева. Отдел по работе с общественностью и СМИ "
Профильный комитет рекомендовал Жогорку Кенешу отклонить кандидатуру судьи Верховного суда  Болотбека Акматова в состав Совета по делам правосудия,25-05-2023 12:04,,"Комитет по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша сегодня, 25 мая  на своем внеочередном заседании рассмотрел кандидатуру судьи Болотбека Акматова в состав Совета по делам правосудия. В ходе обсуждения  депутат Гуля Кожокулова обратила внимание на биографию Болотбека Акматова, подняв вопрос о причинах ухода с должности старшего следователя в 1989 году. «Это вызывает некоторые сомнения», -отметила она, напомнив также о его дисциплинарных взысканиях. По итогам обсуждения Комитет решил рекомендовать Жогорку Кенешу отклонить его кандидатуру. Кроме этого, Комитет рассмотрел  и одобрил вопрос об освобождении от должности члена Центральной комиссии по выборам и проведению референдумов Кыргызской Республики Акылбека Эшимова в связи с вступлением в силу решения Верховного суда КР. Отдел по работе с общественностью и СМИ"
